text,word_in_topic_weight,topic
джон,0.5228,1
сэм,0.4714,1
тирион,-0.2959,1
сир,-0.1609,1
джейм,-0.1432,1
лилл,0.1222,1
одичал,0.1103,1
крастер,0.1082,1
санс,-0.1011,1
стен,0.0955,1
дозор,0.0944,1
бран,0.0940,1
манс,0.0932,1
грен,0.0900,1
сно,0.0876,1
серсе,-0.0871,1
ворон,0.0870,1
бриен,-0.0861,1
эйемон,0.0793,1
черн,0.0789,1
мормонт,0.0714,1
тормунд,0.0665,1
рыцар,-0.0664,1
игритт,0.0655,1
джоффр,-0.0642,1
лорд,-0.0633,1
пип,0.0630,1
кейтилин,-0.0586,1
золот,-0.0585,1
снег,0.0577,1
призрак,0.0562,1
ходор,0.0560,1
эдд,0.0534,1
стар,0.0528,1
мейстер,0.0509,1
медвед,0.0507,1
давос,-0.0506,1
тайвин,-0.0485,1
королев,-0.0464,1
маргер,-0.0447,1
ланнистер,-0.0439,1
разведчик,0.0439,1
команд,0.0434,1
четт,0.0429,1
лед,-0.0416,1
роберт,-0.0414,1
карлик,-0.0412,1
тирелл,-0.0406,1
ден,-0.0404,1
варис,-0.0399,1
аллисер,0.0396,1
брон,-0.0395,1
корол,-0.0394,1
ночн,0.0389,1
нед,-0.0371,1
лес,0.0370,1
куор,0.0365,1
ренл,-0.0363,1
рог,0.0360,1
величеств,-0.0358,1
ной,0.0341,1
паул,0.0337,1
дареон,0.0335,1
серс,-0.0335,1
принц,-0.0330,1
брат,0.0323,1
город,-0.0322,1
кива,-0.0321,1
королевск,-0.0318,1
мурш,0.0311,1
жой,0.0307,1
томм,-0.0305,1
волк,0.0295,1
дракон,-0.0293,1
лиз,-0.0291,1
сэмвел,0.0291,1
дерев,0.0289,1
люд,0.0289,1
десниц,-0.0288,1
лорас,-0.0286,1
полурук,0.0285,1
петир,-0.0285,1
зерн,0.0283,1
холодн,0.0280,1
пицел,-0.0278,1
тарл,0.0269,1
милед,-0.0267,1
клидас,0.0264,1
великан,0.0261,1
слинт,0.0260,1
сумеречн,0.0259,1
смертоносн,0.0257,1
мамонт,0.0257,1
велика,0.0255,1
стрел,0.0255,1
магнар,0.0255,1
сестр,-0.0250,1
скорбн,0.0249,1
холод,0.0247,1
гремуч,0.0243,1
