text,word_in_topic_weight,topic
сэм,0.6164,6
джон,-0.5203,6
бран,0.1849,6
лилл,0.1752,6
бриен,0.1428,6
ходор,0.1327,6
джейм,0.1216,6
тормунд,-0.1143,6
игритт,-0.1040,6
ден,-0.1010,6
манс,-0.1002,6
одичал,-0.0958,6
сно,-0.0751,6
жой,0.0707,6
дареон,0.0705,6
крастер,0.0676,6
призрак,-0.0583,6
мейстер,0.0581,6
паул,0.0563,6
куор,-0.0519,6
нед,-0.0502,6
алейн,-0.0479,6
стен,-0.0465,6
смертоносн,0.0397,6
ной,-0.0397,6
гремуч,-0.0394,6
магнар,-0.0392,6
дрог,-0.0391,6
кхал,-0.0388,6
ксонд,0.0386,6
королев,-0.0373,6
корол,-0.0369,6
теон,0.0364,6
мамонт,-0.0361,6
тен,-0.0360,6
эйемон,0.0356,6
великан,-0.0351,6
лет,0.0339,6
вольн,-0.0334,6
мир,0.0333,6
атлас,-0.0321,6
рубашк,-0.0310,6
полурук,-0.0306,6
джор,-0.0296,6
ярл,-0.0294,6
грен,0.0292,6
стир,-0.0288,6
разведчик,-0.0281,6
мурш,-0.0277,6
роберт,-0.0276,6
величеств,-0.0272,6
рог,-0.0272,6
старомест,0.0270,6
мормонт,-0.0270,6
лювин,0.0266,6
аллисер,-0.0265,6
книг,0.0258,6
мелисандр,-0.0257,6
малыш,0.0256,6
люд,-0.0253,6
больш,0.0248,6
цитадел,0.0247,6
рук,0.0245,6
нег,0.0243,6
костян,-0.0242,6
тарл,0.0241,6
вун,-0.0241,6
варамир,-0.0241,6
нос,0.0241,6
коидж,0.0240,6
харм,-0.0239,6
дона,-0.0237,6
народ,-0.0228,6
длин,-0.0227,6
корабл,0.0226,6
бастард,-0.0217,6
аллерас,0.0216,6
гиздар,-0.0214,6
подрик,0.0212,6
проговор,-0.0212,6
драконов,0.0211,6
дозор,-0.0211,6
архимейстер,0.0210,6
петир,-0.0210,6
уолдер,0.0205,6
вот,0.0204,6
хар,-0.0204,6
может,0.0200,6
даар,-0.0200,6
визерис,-0.0198,6
гаван,0.0196,6
нет,0.0194,6
кхалис,-0.0192,6
кон,-0.0192,6
серсе,0.0191,6
женщин,0.0191,6
вод,0.0190,6
фре,0.0188,6
раб,-0.0188,6
велика,-0.0187,6
